cruise,sample_id,type,year,month,day,stn_start_time_utc,station_id,sample_depth_m,start_lat,start_long,station_depth_m,cast_nu,niskin_bottle_nu,nu_of_dic_ta_samples,nu_of_ch4_n2o_samples,nu_of_13c_dic_samples,pH,note,,,,,,,,,,,,,
JB22,CMO-B-1,Rosette,2022,7,25,15:15,CMO-B,169,61.7750,84.3210,179,1,1,1,0,0,,,,,,,,,,,,,,,
JB22,CMO-B-2,Rosette,2022,7,25,15:15,CMO-B,98,61.7750,84.3210,179,1,3,1,0,0,,,,,,,,,,,,,,,
JB22,CMO-B-3,Rosette,2022,7,25,15:15,CMO-B,60,61.7750,84.3210,179,1,5,1,0,0,,,,,,,,,,,,,,,
JB22,CMO-B-4,Rosette,2022,7,25,15:15,CMO-B,52,61.7750,84.3210,179,1,7,1,0,0,,Chl a max,,,,,,,,,,,,,
JB22,CMO-B-5,Rosette,2022,7,25,15:15,CMO-B,40,61.7750,84.3210,179,1,9,1,0,0,,,,,,,,,,,,,,,
JB22,CMO-B-6,Rosette,2022,7,25,15:15,CMO-B,29,61.7750,84.3210,179,1,11,1,0,0,,,,,,,,,,,,,,,
JB22,CMO-B-7,Rosette,2022,7,25,16:44,CMO-B,23,61.9890,84.2880,180,2,1,1,0,0,,,,,,,,,,,,,,,
JB22,CMO-B-8,Rosette,2022,7,25,16:44,CMO-B,10,61.9890,84.2880,180,2,3,1,0,0,,,,,,,,,,,,,,,
JB22,CMO-B-9,Rosette,2022,7,25,16:44,CMO-B,surf,61.9890,84.2880,180,2,5,1,0,0,,,,,,,,,,,,,,,
JB22,CMO-A-1,Rosette,2022,7,27,12:06,CMO-A,89,59.9830,92.0620,100,3,1,1,0,0,,,,,,,,,,,,,,,
JB22,CMO-A-2,Rosette,2022,7,27,12:06,CMO-A,60,59.9830,92.0620,100,3,3,1,0,0,,,,,,,,,,,,,,,
JB22,CMO-A-3,Rosette,2022,7,27,12:06,CMO-A,40,59.9830,92.0620,100,3,5,1,0,0,,,,,,,,,,,,,,,
