"cruise","sample_id","type","stn_start_time_utc","station_id","sample_depth_m","start_lat","start_long","station_depth_m","nu_of_dic_ta_samples","nu_of_ch4_n2o_samples","nu_of_13c_dic_samples","pH","note","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","month.y","day.y","year.y","temperature_deg_c","salinity_psu","conductivity_ms_cm","pressure_db","timestamp_utc"
"JB22","CMO-B-1","Rosette",15:15:00,"CMO-B","169",61.775,84.321,179,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,25,2022,169.756,168.063,-0.9004,26.747085,"2022/7/25T15:24:05"
"JB22","CMO-B-2","Rosette",15:15:00,"CMO-B","98",61.775,84.321,179,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,25,2022,101.294,100.3,-0.9908,26.499649,"2022/7/25T15:28:26"
"JB22","CMO-B-3","Rosette",15:15:00,"CMO-B","60",61.775,84.321,179,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,25,2022,61.974,61.372,-1.2762,25.894304,"2022/7/25T15:31:19"
"JB22","CMO-B-4","Rosette",15:15:00,"CMO-B","52",61.775,84.321,179,1,0,0,NA,"Chl a max",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,25,2022,49.801,49.319,-1.1788,25.597666,"2022/7/25T15:33:12"
"JB22","CMO-B-5","Rosette",15:15:00,"CMO-B","40",61.775,84.321,179,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,25,2022,44.703,44.271,-0.9415,25.515717,"2022/7/25T15:34:55"
"JB22","CMO-B-6","Rosette",15:15:00,"CMO-B","29",61.775,84.321,179,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,25,2022,30.067,29.777,1.9395,26.732953,"2022/7/25T15:37:00"
"JB22","CMO-B-7","Rosette",16:44:00,"CMO-B","23",61.989,84.288,180,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,25,2022,24.417,24.182,2.8506,27.245811,"2022/7/25T17:00:03"
"JB22","CMO-B-8","Rosette",16:44:00,"CMO-B","10",61.989,84.288,180,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,25,2022,12.294,12.176,9.6824,32.286076,"2022/7/25T17:02:12"
"JB22","CMO-B-9","Rosette",16:44:00,"CMO-B","surf",61.989,84.288,180,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,25,2022,1.844,1.827,9.7903,32.351776,"2022/7/25T17:04:44"
"JB22","CMO-A-1","Rosette",12:06:00,"CMO-A","89",59.983,92.062,100,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,27,2022,92.486,91.593,-1.5151,26.076912,"2022/7/27T12:11:18"
"JB22","CMO-A-2","Rosette",12:06:00,"CMO-A","60",59.983,92.062,100,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,27,2022,61.55,60.961,-1.5873,25.906412,"2022/7/27T12:13:56"
