"bottle_position","month","day","year","pressure_db","depth_m","temperature_deg_c","conductivity_ms_cm","salinity_psu","density_kg_m3","specific_volume_(sva)","oxygen_raw_V","oxygen_umol_kg","oxygen_saturation_%","spar","cast","time_utc"
1,7,25,2022,169.756,"168.063",-0.9004,26.747085,32.8327,"26.3937","161.329","1.7002","237.414","5.4563","65.513",1,"15:24:05"
2,7,25,2022,169.722,"168.029",-0.9008,26.746789,32.8327,"26.3937","161.329","1.7012","237.751","5.4641","65.606",1,"15:24:14"
3,7,25,2022,101.294,"100.300",-0.9908,26.499649,32.6371,"26.2382","176.424","1.9086","275.544","6.3317","75.736",1,"15:28:26"
4,7,25,2022,102.347,"101.342",-0.9732,26.526134,32.6531,"26.2506","175.242","1.9014","273.695","6.2893","75.272",1,"15:28:33"
5,7,25,2022,61.974,"61.372",-1.2762,25.894304,32.1456,"25.8483","213.609","1.9880","293.046","6.7313","79.624",1,"15:31:19"
6,7,25,2022,61.805,"61.204",-1.2757,25.894524,32.1455,"25.8481","213.624","1.9874","292.883","6.7276","79.581",1,"15:31:27"
7,7,25,2022,49.801,"49.319",-1.1788,25.597666,31.6452,"25.4398","252.508","2.2180","337.261","7.7439","91.516",1,"15:33:12"
8,7,25,2022,48.975,"48.501",-1.1694,25.605558,31.6464,"25.4406","252.446","2.2569","345.719","7.9381","93.836",1,"15:33:21"
9,7,25,2022,44.703,"44.271",-0.9415,25.515717,31.2884,"25.1442","280.678","2.3802","364.659","8.3705","99.303",1,"15:34:55"
10,7,25,2022,45.113,"44.677",-0.999,25.559076,31.4066,"25.2415","271.413","2.3708","362.943","8.3319","98.776",1,"15:35:02"
11,7,25,2022,30.067,"29.777",1.9395,26.732953,30.0036,"23.9748","392.384","2.5663","370.081","8.4853","107.560",1,"15:37:00"
12,7,25,2022,30.686,"30.390",1.9649,26.784456,30.0428,"24.0045","389.555","2.5631","368.763","8.4553","107.279",1,"15:37:09"
1,7,25,2022,24.417,"24.182",2.8506,27.245811,29.7772,"23.7299","415.810","2.5520","357.755","8.2007","106.206",2,"17:00:03"
2,7,25,2022,24.588,"24.351",2.8294,27.245663,29.7966,"23.7470","414.179","2.5545","358.351","8.2145","106.342",2,"17:00:11"
3,7,25,2022,12.294,"12.176",9.6824,32.286076,29.3824,"22.6196","522.058","2.4098","280.062","6.4128","97.278",2,"17:02:12"
4,7,25,2022,12.196,"12.079",9.6944,32.298602,29.3852,"22.6199","522.028","2.4048","278.777","6.3834","96.859",2,"17:02:20"
5,7,25,2022,1.844,"1.827",9.7903,32.351776,29.3647,"22.5887","524.851","2.4145","279.171","6.3922","97.186",2,"17:04:44"
6,7,25,2022,1.877,"1.859",9.7895,32.351595,29.3651,"22.5892","524.806","2.4151","279.515","6.4001","97.305",2,"17:04:49"
1,7,27,2022,92.486,"91.593",-1.5151,26.076912,32.6368,"26.2530","174.927","1.8836","275.250","6.3250","74.598",3,"12:11:18"
2,7,27,2022,92.478,"91.586",-1.5144,26.078005,32.6376,"26.2536","174.866","1.8833","275.020","6.3197","74.538",3,"12:11:26"
3,7,27,2022,61.55,"60.961",-1.5873,25.906412,32.4999,"26.1436","185.535","1.9608","289.915","6.6613","78.335",3,"12:13:56"
4,7,27,2022,61.51,"60.921",-1.5873,25.906239,32.4996,"26.1433","185.556","1.9608","289.717","6.6568","78.281",3,"12:14:03"
5,7,27,2022,41.465,"41.070",-1.5959,25.81486,32.3952,"26.0588","193.748","1.9713","291.329","6.6932","78.633",3,"12:16:10"
6,7,27,2022,41.581,"41.185",-1.5963,25.814753,32.3955,"26.0590","193.729","1.9722","291.369","6.6942","78.644",3,"12:16:16"
7,7,27,2022,28.659,"28.387",-1.4675,25.765663,32.1959,"25.8939","209.523","2.3055","353.678","8.1244","95.643",3,"12:18:14"
8,7,27,2022,28.601,"28.329",-1.4678,25.765674,32.1963,"25.8942","209.498","2.3060","353.971","8.1311","95.722",3,"12:18:22"
9,7,27,2022,21.346,"21.144",-1.013,25.892453,31.8861,"25.6304","234.645","2.4543","377.049","8.6590","102.963",3,"12:20:06"
10,7,27,2022,21.382,"21.179",-0.9909,25.894472,31.8653,"25.6128","236.314","2.4568","377.276","8.6641","103.070",3,"12:20:14"
11,7,27,2022,17.725,"17.557",-0.1817,25.969052,31.1243,"24.9857","296.016","2.5753","391.652","8.9888","108.689",3,"12:21:47"
12,7,27,2022,17.526,"17.360",-0.1977,25.967681,31.1391,"24.9982","294.826","2.5748","391.672","8.9893","108.661",3,"12:21:57"
1,7,27,2022,11.087,"10.982",-0.4669,24.845343,29.9315,"24.0324","386.858","2.5687","397.060","9.1044","108.345",4,"13:29:46"
2,7,27,2022,11.029,"10.925",-0.4047,24.911383,29.9574,"24.0513","385.054","2.5700","395.943","9.0790","108.241",4,"13:29:53"
3,7,27,2022,2.001,"1.982",6.9299,28.268973,27.4405,"21.4790","631.074","2.4508","309.426","7.0773","99.586",4,"13:31:35"
4,7,27,2022,1.915,"1.896",6.9235,28.2668,27.4433,"21.4820","630.788","2.4526","309.702","7.0836","99.661",4,"13:31:43"
1,8,5,2022,25.697,"25.459",1.7401,25.311543,28.4356,"22.7317","511.018","2.3598","339.353","7.7713","96.957",5,"12:44:12"
2,8,5,2022,17.358,"17.198",1.7787,25.319057,28.4143,"22.7124","512.910","2.3612","338.943","7.7618","96.920",5,"12:45:59"
3,8,5,2022,11.822,"11.713",1.7922,25.32,28.406,"22.7050","513.646","2.3657","338.954","7.7620","96.950",5,"12:47:34"
4,8,5,2022,8.876,"8.794",1.893,25.35763,28.3631,"22.6648","517.508","2.3710","339.199","7.7673","97.238",5,"12:48:58"
5,8,5,2022,5.517,"5.466",1.9318,25.373632,28.3495,"22.6516","518.786","2.3721","338.782","7.7576","97.205",5,"12:50:40"
6,8,5,2022,1.616,"1.601",1.9472,25.380929,28.3466,"22.6483","519.115","2.3752","339.042","7.7635","97.315",5,"12:52:01"
7,8,5,2022,1.486,"1.473",1.9595,25.389389,28.346,"22.6471","519.231","2.3732","338.127","7.7426","97.083",5,"12:52:12"
